Time [msec],x [m],y [m],z [m],Red,Green,Blue
0,-5,0,0,255,255,255
250,-5,0,0.0567,255,255,255
500,-5,0,0.1639,255,255,255
750,-5,0,0.3169,255,255,255
1000,-5,0,0.5111,255,255,255
1250,-5,0,0.742,255,255,255
1500,-5,0,1.005,255,255,255
1750,-5,0,1.2955,255,255,255
2000,-5,0,1.6089,255,255,255
2250,-5,0,1.9406,255,255,255
2500,-5,0,2.2861,255,255,255
2750,-5,0,2.6408,255,255,255
3000,-5,0,3,255,255,255
3250,-5,0,3.3592,255,255,255
3500,-5,0,3.7139,255,255,255
3750,-5,0,4.0594,255,255,255
4000,-5,0,4.3911,255,255,255
4250,-5,0,4.7045,255,255,255
4500,-5,0,4.995,255,255,255
4750,-5,0,5.258,255,255,255
5000,-5,0,5.4889,255,255,255
5250,-5,0,5.6831,255,255,255
5500,-5,0,5.8361,255,255,255
5750,-5,0,5.9433,255,255,255
6000,-5,0,6,255,255,255
6250,-5,0,6,255,255,255
6500,-5,0,6,255,255,255
6750,-5,0,6,255,255,255
7000,-5,0,6,255,255,255
7250,-5,0,6,255,255,255
7500,-5,0,6,255,255,255
7750,-5,0,6,255,255,255
8000,-5,0,6,255,255,255
8250,-5,0,6,255,255,255
8500,-5,0,6,255,255,255
8750,-5,0,6,255,255,255
9000,-5,0,6,255,255,255
9250,-5,0,6,255,255,255
9500,-5,0,6,255,255,255
9750,-5,0,6,255,255,255
10000,-5,0,6,255,255,255
10250,-5,0,6,255,255,255
10500,-5,0,6,255,255,255
10750,-5,0,6,255,255,255
11000,-5,0,6,255,255,255
11250,-5,0,6,255,255,255
11500,-5,0,6,255,255,255
11750,-5,0,6,255,255,255
12000,-5,0,6,255,255,255
12250,-5,0,6,255,255,255
12500,-5,0,6,255,255,255
12750,-5,0,6,255,255,255
13000,-5,0,6,255,255,255
13250,-5,0,6,255,255,255
13500,-5,0,6,255,255,255
13750,-5,0,6,255,255,255
14000,-5,0,6,255,255,255
14250,-5,0,6,255,255,255
14500,-5,0,6,255,255,255
14750,-5,0,6,255,255,255
15000,-5,0,6,255,255,255
15250,-5,0,6,255,255,255
15500,-5,0,6,255,255,255
15750,-5,0,6,255,255,255
16000,-5,0,6,255,255,255
16250,-5,0,6,255,255,255
16500,-5,0,6,255,255,255
16750,-5,0,6,255,255,255
17000,-5,0,6,255,255,255
17250,-5,0,6,255,255,255
17500,-5,0,6,255,255,255
17750,-5,0,6,255,255,255
18000,-5,0,6,255,255,255
